Age_num,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
45,-5.936699307520279,-5.949449351227344,-5.962199394934409,-5.974949438641473,-5.987699482348538,-6.000449526055602,-6.0131995697626675,-6.025949613469732,-6.038699657176797,-6.051449700883861,-6.064199744590926,-6.07694978829799,-6.0896998320050555,-6.10244987571212,-6.115199919419185,-6.127949963126249,-6.140700006833314,-6.153450050540378,-6.1662000942474435,-6.178950137954508,-6.191700181661573,-6.204450225368637,-6.217200269075702,-6.2299503127827665,-6.242700356489832,-6.255450400196896
46,-5.8502621933032914,-5.862925634335358,-5.875589075367425,-5.888252516399492,-5.900915957431558,-5.913579398463625,-5.926242839495692,-5.938906280527759,-5.951569721559825,-5.964233162591892,-5.97689660362396,-5.9895600446560255,-6.002223485688093,-6.01488692672016,-6.027550367752227,-6.040213808784293,-6.05287724981636,-6.065540690848427,-6.078204131880494,-6.09086757291256,-6.103531013944627,-6.116194454976694,-6.1288578960087605,-6.141521337040827,-6.154184778072894,-6.166848219104961
47,-5.768924673071354,-5.781668432454673,-5.794412191837991,-5.80715595122131,-5.819899710604627,-5.8326434699879455,-5.845387229371264,-5.858130988754582,-5.8708747481379,-5.883618507521218,-5.896362266904537,-5.909106026287855,-5.9218497856711725,-5.934593545054491,-5.947337304437809,-5.960081063821127,-5.972824823204445,-5.985568582587764,-5.998312341971082,-6.0110561013543995,-6.023799860737718,-6.036543620121036,-6.049287379504355,-6.062031138887672,-6.074774898270991,-6.087518657654309
48,-5.673302922450509,-5.685891979834245,-5.69848103721798,-5.711070094601714,-5.72365915198545,-5.736248209369185,-5.748837266752919,-5.761426324136655,-5.774015381520389,-5.786604438904124,-5.799193496287859,-5.811782553671594,-5.824371611055329,-5.836960668439064,-5.849549725822799,-5.862138783206534,-5.8747278405902685,-5.887316897974004,-5.899905955357738,-5.9124950127414735,-5.925084070125208,-5.937673127508943,-5.9502621848926776,-5.962851242276413,-5.975440299660148,-5.9880293570438825
49,-5.609353503510682,-5.622206563164696,-5.635059622818709,-5.647912682472723,-5.660765742126736,-5.67361880178075,-5.686471861434763,-5.699324921088777,-5.71217798074279,-5.725031040396804,-5.737884100050817,-5.750737159704831,-5.763590219358844,-5.776443279012858,-5.789296338666871,-5.802149398320885,-5.815002457974899,-5.827855517628912,-5.840708577282925,-5.853561636936939,-5.866414696590953,-5.879267756244966,-5.892120815898979,-5.904973875552993,-5.917826935207007,-5.93067999486102
50,-5.5106134651094845,-5.523410119249436,-5.536206773389387,-5.549003427529339,-5.56180008166929,-5.574596735809242,-5.587393389949193,-5.600190044089144,-5.612986698229096,-5.625783352369048,-5.638580006508999,-5.651376660648951,-5.664173314788902,-5.676969968928853,-5.689766623068805,-5.702563277208757,-5.715359931348708,-5.72815658548866,-5.740953239628611,-5.753749893768562,-5.766546547908514,-5.779343202048466,-5.792139856188417,-5.8049365103283685,-5.8177331644683195,-5.830529818608271
51,-5.426960472265564,-5.439677803920464,-5.452395135575364,-5.465112467230265,-5.477829798885165,-5.490547130540065,-5.503264462194966,-5.515981793849866,-5.528699125504766,-5.5414164571596665,-5.554133788814567,-5.566851120469467,-5.579568452124367,-5.592285783779268,-5.605003115434168,-5.617720447089068,-5.630437778743969,-5.643155110398869,-5.655872442053769,-5.6685897737086695,-5.68130710536357,-5.69402443701847,-5.70674176867337,-5.719459100328271,-5.732176431983171,-5.744893763638071
52,-5.335342914216821,-5.3479907561736315,-5.360638598130442,-5.373286440087252,-5.385934282044062,-5.398582124000872,-5.411229965957682,-5.423877807914493,-5.436525649871303,-5.4491734918281125,-5.461821333784923,-5.474469175741733,-5.4871170176985435,-5.499764859655354,-5.512412701612164,-5.525060543568975,-5.537708385525784,-5.550356227482594,-5.563004069439405,-5.575651911396215,-5.588299753353025,-5.600947595309836,-5.613595437266645,-5.626243279223456,-5.638891121180266,-5.651538963137076
53,-5.2582636180966045,-5.2708794874694505,-5.2834953568422955,-5.296111226215141,-5.308727095587987,-5.321342964960833,-5.333958834333678,-5.346574703706523,-5.359190573079369,-5.371806442452215,-5.38442231182506,-5.397038181197905,-5.409654050570751,-5.422269919943597,-5.434885789316442,-5.447501658689287,-5.460117528062133,-5.472733397434979,-5.485349266807824,-5.497965136180669,-5.510581005553515,-5.523196874926361,-5.535812744299206,-5.548428613672051,-5.561044483044897,-5.573660352417743
54,-5.181460829097457,-5.194051894296612,-5.206642959495767,-5.219234024694922,-5.231825089894077,-5.244416155093233,-5.257007220292388,-5.269598285491543,-5.282189350690698,-5.294780415889853,-5.307371481089008,-5.3199625462881635,-5.332553611487318,-5.345144676686473,-5.357735741885628,-5.370326807084783,-5.382917872283938,-5.395508937483093,-5.408100002682249,-5.420691067881404,-5.433282133080559,-5.445873198279714,-5.458464263478869,-5.471055328678024,-5.483646393877179,-5.496237459076335
55,-5.084294795089517,-5.096481741011599,-5.1086686869336795,-5.120855632855761,-5.133042578777842,-5.145229524699924,-5.157416470622005,-5.169603416544087,-5.181790362466168,-5.1939773083882494,-5.20616425431033,-5.218351200232412,-5.230538146154493,-5.242725092076574,-5.254912037998656,-5.267098983920738,-5.2792859298428185,-5.291472875764899,-5.303659821686981,-5.315846767609062,-5.328033713531144,-5.340220659453225,-5.352407605375307,-5.364594551297388,-5.376781497219469,-5.38896844314155
56,-5.003865803904828,-5.015951749118464,-5.028037694332101,-5.040123639545737,-5.052209584759373,-5.064295529973009,-5.076381475186645,-5.088467420400281,-5.1005533656139175,-5.112639310827553,-5.124725256041189,-5.136811201254825,-5.148897146468461,-5.160983091682097,-5.1730690368957335,-5.18515498210937,-5.197240927323006,-5.209326872536642,-5.221412817750278,-5.233498762963913,-5.2455847081775495,-5.257670653391186,-5.269756598604822,-5.281842543818458,-5.293928489032094,-5.30601443424573
